datum,boxID,bodemvochtigheid,predictedatum,MEA,RMSA
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,25.509999999999952,2021-02-03,0.0,0.0
2021-02-03,1,25.60999999999995,2021-02-04,0.0,0.0
2021-02-03,1,25.61999999999995,2021-02-05,0.0,0.0
2021-02-03,1,26.029999999999955,2021-02-06,0.0,0.0
2021-02-03,1,26.269999999999953,2021-02-07,0.0,0.0
2021-02-03,1,26.189999999999955,2021-02-08,0.0,0.0
2021-02-03,1,25.24999999999995,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
2021-02-03,1,0.0,2021-02-03,0.0,0.0
2021-02-03,1,0.0,2021-02-04,0.0,0.0
2021-02-03,1,0.0,2021-02-05,0.0,0.0
2021-02-03,1,0.0,2021-02-06,0.0,0.0
2021-02-03,1,0.0,2021-02-07,0.0,0.0
2021-02-03,1,0.0,2021-02-08,0.0,0.0
2021-02-03,1,0.0,2021-02-09,0.0,0.0
